NOMBRE_CONJUNTO;TIPO_BIEN;PRECIO;LOCALIZACIÓN;FECHA_PUBLICACIÓN;ÁREA m²;NUM_HABITACIONES;NOMBRE_PROYECTO
Venta Suite Oportunidad La Floresta, Sector Universidades;Departamentos; 66000;Mariscal Sucre, Centro Norte;29/marzo/2020;;;
Venta De Departamento, Dos Habitaciones. Gaspar De Villarroel;Departamentos; 135000;Iñaquito, Centro Norte;29/marzo/2020;;;
Casa De Venta En Calderon Sector Carretas A 2 Minutos Del Portal Shopping . Oportunidad;Casa; 135000;Calderón, Norte De Quito;28/marzo/2020;;;
Tumbaco Casa Estilo Rústico 4 Habitaciones Jardín;Casa; 300000;Tumbaco, Valle Tumbaco;27/marzo/2020;;;
Casa En Venta Sector Uraba Ii, Cerca Intercambiador Carcelen O Intercambiador Carapungo;Casa; 120000;Carcelen, Norte De Quito;27/marzo/2020;;;
Casa De Venta En Los Chillos, San Rafael, Propiedad Con 350 M2 De Terreno Y 335 M2 De Construcción, 4 Dormitorios;Casa; 245000;Conocoto, Valle Los Chillos;27/marzo/2020;;;
Vendo Casa 2 Dptos + Galpón, San Fernando A 5 Cuadras Av. Occidental $398.000;Casa; 398000;Cochapamba, Centro Norte;26/marzo/2020;;;
Departamento En Venta En Quito Centro Norte En La Shyris Quicentro Cod: V083;Departamentos; 150000;Iñaquito, Centro Norte;25/marzo/2020;;;
Venta Departamento (Penthouse) 3 Hab 3.5 Baños 2 Parqueadero 1 Bodega (250 M²) - La Coruña;Departamentos; 390000;Iñaquito, Centro Norte;24/marzo/2020;;;
Vendo Casa En El Sector De San Fernando (Arriba De La Occidental);Casa; 145000;Cochapamba, Centro Norte;23/marzo/2020;;;
Venta De Casas Ene Nayon;Casa; 178548;Nayon - Tanda, Valle Tumbaco;23/marzo/2020;;;
Venta De Oportunidad Casa Independiente Carapungo I Etapa, Atras Supermercado Gran Aki.;Casa; 48000;Carapungo, Calderón, Norte De Quito;23/marzo/2020;;;
Casa En Venta/Arriendo Quito/ Tumbaco/ La Morita;Casa; 119900;Tumbaco, Valle Tumbaco;22/marzo/2020;;;
Casa De Venta En Nayon 3 Dormitorios En Urbanización Privada;Casa; 310000;Nayon - Tanda, Valle Tumbaco;22/marzo/2020;;;
Venta Hermosa Casa Sector Colegio Einstein Norte De Quito;Casa; 388000;Carcelen, Norte De Quito;22/marzo/2020;;;
Casa De Venta En Capelo, Cipreses, Valle De Los Chillos;Casa; 230000;Quito;21/marzo/2020;;;
Casa De Venta En San Marcos, Departamentos Y Locales, Centro De Quito, Centro Histórico, Rocafuerte Y Liceo;Casa; 350000;Centro De Quito, Centro Colonial;21/marzo/2020;;;
Vendo Casas En Proyecto San Juan De Calderón En 49.647;Casa; 51647;Calderón, Norte De Quito;21/marzo/2020;;;
Vendo Casa La Pampa;Casa; 340000;Pomasqui, Norte De Quito;20/marzo/2020;;;
Casa En Venta A Precio De Remate, Sector La Morenita, Calderóncalderón, Quito.;Casa; 73000;Calderón, Norte De Quito;19/marzo/2020;;;
Departamento De Venta Cerca A Embajada Americana, Norte De Quito, Guardianía Y Parqueadero. Centro Norte De Quito;Departamentos; 105000;Kennedy, Centro Norte;19/marzo/2020;;;
Nayon Propiedad De Venta Minimalista 700m2. Construccion 2700m2 De Terreno;Casa; 699000;Nayon - Tanda, Valle Tumbaco;18/marzo/2020;;;
Oportunidad Venta Depar 3 Dormitorios La Y;Departamentos; 92000;Rumipamba, Centro Norte;18/marzo/2020;;;
Vendo Departamento Amplio, Remodelado En Pb, Sector La Luz;Departamentos; 99000;La Luz, Kennedy, Centro Norte;17/marzo/2020;;;
Venta Departamento Penthouse De Lujo En Quito Tenis: Terraza 360 Amplia /Gimnasio/ Jardines;Departamentos; 620000;Rumipamba, Centro Norte;17/marzo/2020;;;
Casa Por Estrenar En Venta;Casa; 80000;Calderón, Norte De Quito;15/marzo/2020;;;
Cxc Venta Casa En Conjunto, La Merced, Valle, Exp. 4147;Casa; 53900;Belisario Quevedo, Centro Norte;14/marzo/2020;;;
Miguel Angel;Penthouse; 320000;Cumbaya, Valle Tumbaco;06/abril/2020;;3;
Casa Venta;Casa; 150000;La Armenia I, Conocoto, Valle Los Chillos;18/febrero/2020;;;
Departamento En Venta / Cne - La Carolina;Departamentos; 180000;Iñaquito, Centro Norte;11/abril/2020;;;
